financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm,"asthma deaths [rate per 100,000]","asthma edp [f] [rate per 100,000]","asthma edp [m] [rate per 100,000]","asthma hospitalisations [f] [rate per 100,000]","asthma hospitalisations [m] [rate per 100,000]",asthma prevelance in children [% of children]
2004/2005,Nepean Blue Mountains,,0.1856823979591836,0.5752049927113703,2.1300217548948512,16.085714285714285,0.0735071806500377,,,,168.0,175.5,14.5
2005/2006,Nepean Blue Mountains,,0.1732142857142857,0.5663903061224489,2.125,15.5,0.0375,,,,172.2,174.7,13.5
2006/2007,Nepean Blue Mountains,,0.2821428571428571,0.6109268707482993,1.968358714043993,17.783333333333335,0.0666666666666666,,,,180.8,198.7,13.75
2007/2008,Nepean Blue Mountains,,0.1955078125,0.4931640625,1.8512412891986063,14.20625,0.0,,,,178.8,179.5,15.0
2008/2009,Nepean Blue Mountains,,,,,,,,,,176.7,193.9,16.15
2009/2010,Nepean Blue Mountains,,0.1875,0.5625,1.7000000000000002,14.35,0.0,,,,189.9,182.3,17.45
2010/2011,Nepean Blue Mountains,,0.0948660714285714,0.5564732142857143,1.75,12.592857142857143,0.0071428571428571,,,,150.2,174.9,18.7
2011/2012,Nepean Blue Mountains,,0.09,0.5,1.75,12.89,0.02,1.0,,,156.1,163.4,17.75
2012/2013,Nepean Blue Mountains,,0.0888888888888888,0.4888888888888889,1.927777777777778,17.461111111111112,0.0277777777777777,0.925,,,160.4,180.3,16.450000000000003
2013/2014,Nepean Blue Mountains,,0.1222222222222222,0.4722222222222222,1.9444444444444444,15.901766381766382,0.0166666666666666,0.95,,,174.8,172.9,15.4
2014/2015,Nepean Blue Mountains,,0.0944444444444444,0.4388888888888889,2.0722222222222224,15.744444444444444,0.0,1.0,447.0,379.1,188.8,176.4,14.65
2015/2016,Nepean Blue Mountains,,0.1015625,0.4883680555555555,1.9055555555555557,15.83888888888889,0.0166666666666666,1.0,400.1,347.5,186.8,166.3,15.55
2016/2017,Nepean Blue Mountains,,0.1707142857142857,0.4893367346938775,1.941091370558376,15.769538461538463,0.0237301587301587,1.15,439.7,365.9,181.8,160.3,16.65
2017/2018,Nepean Blue Mountains,,0.2071428571428571,0.5512755102040815,1.9958665699782447,17.55875457875458,0.0431216931216931,1.2,397.1,320.8,161.5,150.3,17.6
