financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm,asthma edp [f],asthma edp [m],asthma hospitalisations [f],asthma hospitalisations [m],copd deaths [f],copd deaths [m],copd hospitalisations [f],copd hospitalisations [m],iap deaths [f],iap deaths [m],iap hospitalisations [f],iap hospitalisations [m]
2016/2017,South Eastern Sydney,0.2565341227938688,2.8977913421151213,1.4346761032126245,1.384755324375561,18.375,0.1101219968473498,250.0,269.2,106.6,84.1,15.8,19.4,122.2,161.8,8.0,9.8,247.0,316.0
2017/2018,South Eastern Sydney,0.277671896274675,2.75815575500696,1.448040511962799,1.4285173071141617,20.166666666666668,0.1231368459127535,216.3,234.7,113.225,88.575,15.2,18.5,119.1,142.0,8.2,9.5,300.0,351.5
2018/2019,South Eastern Sydney,0.3260362161896231,2.947545236365947,1.56961659504037,1.3641075794669748,21.125,0.1192539207157378,240.7,237.8,122.925,98.275,13.9,14.6,117.9,140.7,6.6,8.4,316.5,368.3
2019/2020,South Eastern Sydney,0.2961391273946779,2.5416666666666665,1.4833333333333334,1.4951346962429817,21.39583333333333,0.1078566317205432,230.7,205.6,109.65,84.875,14.1,16.1,105.7,136.5,5.8,6.4,296.7,337.9
2020/2021,South Eastern Sydney,0.2558922516818787,2.45021977036854,1.331017425791939,1.39085773492464,17.458333333333332,0.0998115880567723,178.3,174.3,74.6,59.95,12.0,16.2,65.0,91.8,4.2,5.2,135.0,187.1
2021/2022,South Eastern Sydney,0.1601596236948797,2.100257976640234,1.1410720793663889,1.3913952823690847,15.308333333333332,0.0987115687336142,180.9,158.6,83.3,59.5,13.75,19.475,62.4,75.6,4.725,5.775,155.975,226.15
2022/2023,South Eastern Sydney,0.1916666666666666,2.408333333333333,1.2791666666666666,1.3583333333333334,14.691666666666668,0.1,218.0,190.0,101.50833333333334,76.25833333333334,15.5,22.75,115.7,173.8,5.25,6.35,176.95,265.2
2023/2024,South Eastern Sydney,0.2416666666666666,2.9250000000000003,1.3110278370369608,1.2791666666666666,17.558333333333334,0.1046819560264101,279.9,277.4,119.71666666666668,93.01666666666668,17.25,26.025,169.0,272.0,5.775,6.925,197.925,304.25
2014/2015,South Western Sydney,0.2378099918017812,0.6062508463481429,0.6809514381538279,1.8207820082184003,16.35625,0.0382141307000786,341.8,364.8,155.3,114.525,19.0,29.3,191.1,256.2,6.3,7.5,297.4,339.4
2015/2016,South Western Sydney,0.2336691953767935,0.620532641365352,0.7404601501172303,1.7896288528116229,17.247916666666665,0.0423753228367935,335.1,366.2,148.475,119.55,21.3,29.5,213.2,265.2,8.0,8.2,308.9,361.2
