year-month,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm,asthma edp [f],asthma edp [m]
2019-06,Hunter New England,0.0739837692148647,1.142748981680103,0.936419232641452,1.5110532707024904,16.7,0.2276053679042642,53.1,45.0
2019-07,Hunter New England,0.072609335518264,1.103308186872409,0.944130748975549,1.748076497940667,20.5,0.1970414465428837,42.1,44.6
2019-08,Hunter New England,0.0880822699628194,0.8608238453691238,0.8629768977494693,2.209402265264356,24.558807014201257,0.2165836023108722,43.8,45.4
2019-09,Hunter New England,0.0389962392054547,0.416280290883698,0.6442927940689152,2.646127301751046,26.215949871344115,0.214176925583465,47.2,29.6
2019-10,Hunter New England,0.094539593202927,0.3737175925716993,0.597790775684031,3.001409799848124,33.82371641902125,0.2159581200944516,40.6,31.3
2019-11,Hunter New England,0.1877644674613121,0.24530238974324,0.5410533681591626,3.1278014963211658,34.968989112619454,0.2197923092615457,51.3,40.6
2019-12,Hunter New England,0.2435128850173681,0.2042987234123206,0.4564605047883708,3.213515782035451,34.968989112619454,0.1853696820988775,45.1,36.7
2020-01,Hunter New England,0.2446811310083907,0.1784572756667966,0.4940888672331507,3.080993969233057,34.968989112619454,0.1918463121557785,30.0,22.6
2020-02,Hunter New England,0.1266869709810872,0.2433548274496521,0.3866823949845125,2.243448248152152,25.957142857142856,0.1276961653632148,31.4,34.1
2020-03,Hunter New England,0.0861193241391375,0.3476038615586003,0.4501670110711309,1.8886718764921029,21.457142857142856,0.1094353186456752,50.2,37.0
2020-04,Hunter New England,0.1166543402259409,0.5412821063126104,0.697267435930394,1.9334878196002008,23.842857142857145,0.162088505826761,23.3,13.2
2020-05,Hunter New England,0.0673898702981183,0.847577293501495,0.6930580564481849,1.6255956794886035,16.385714285714286,0.1536557392495516,18.6,20.5
2020-06,Hunter New England,0.0698733028062968,0.8793832736305687,0.7697967302881233,1.6439209932873646,15.985714285714286,0.1297656187746597,46.3,52.4
2020-07,Hunter New England,0.0999999999999999,0.9678130929748436,0.8377249138070373,1.7836565145175178,16.057142857142857,0.1971799866009926,33.7,24.9
2020-08,Hunter New England,0.0666666666666666,0.7105963845522673,0.80496419598864,2.183385303854936,19.542857142857144,0.1833255093454939,31.6,27.4
2020-09,Hunter New England,0.1042315899589109,0.4108935601525533,0.5793090536674491,2.332939055057675,21.185714285714287,0.126680964644814,20.0,24.2
2020-10,Hunter New England,0.0666666666666666,0.2749201261268963,0.4514281163766174,2.573446957198992,19.52857142857143,0.1436553368370801,28.4,25.3
2020-11,Hunter New England,0.0782372669790342,0.2743869726901816,0.4194493182544896,2.479362295983243,25.15714285714285,0.1694754193800267,29.5,32.4
2020-12,Hunter New England,0.1,0.175,0.2897549350934951,2.142857142857143,21.8,0.12,26.5,31.5
2021-01,Hunter New England,0.1,0.2666666666666666,0.2785675752196616,1.9285714285714288,21.61428571428571,0.14,21.0,14.4
2021-02,Hunter New England,0.1,0.2196729523893069,0.2613348615721427,1.7142857142857142,21.985714285714288,0.115967987519886,29.1,23.8
2021-03,Hunter New England,0.1,0.2583333333333333,0.3517908912521757,1.842857142857143,19.557142857142857,0.12,42.9,37.3
2021-04,Hunter New England,0.1,0.7613396190559736,0.6676494264391223,1.605731742626604,19.4,0.1399999999999999,44.7,34.7
2021-05,Hunter New England,0.0666666666666666,0.9015362045174532,0.716100010455983,1.4916177972565208,17.0,0.13,53.1,53.9
2021-06,Hunter New England,0.0999999999999999,1.063801465030364,0.7667404332284279,1.4991937813345726,14.242857142857144,0.16,39.7,36.2
2021-07,Hunter New England,0.0666666666666666,0.994672952389307,0.7791329579182653,1.67256405513265,16.32857142857143,0.1699999999999999,35.7,28.7
2021-08,Hunter New England,0.0666666666666666,0.6863396190559735,0.745771307939246,1.9537123354418215,20.17142857142857,0.13,26.6,23.6
2021-09,Hunter New England,0.0666666666666666,0.4608321260031248,0.6024857263491014,2.2585317958659883,20.357142857142858,0.12,18.5,11.7
2021-10,Hunter New England,0.0666666666666666,0.2749999999999999,0.5067869416069947,2.4707793637589783,21.52857142857143,0.14,27.7,20.1
2021-11,Hunter New England,0.0666666666666666,0.1666666666666666,0.3666666666666667,2.1,17.857142857142858,0.125967987519886,24.7,27.3
2021-12,Hunter New England,0.0699010507680008,0.1820389377398542,0.3137962603809525,2.1434209408289537,18.21038074282587,0.1504346614043355,23.5,23.2
2022-01,Hunter New England,0.0666666666666666,0.2079998314861436,0.2418343428953564,1.6857142857142855,24.185714285714283,0.1432375555808933,19.6,9.3
2022-02,Hunter New England,0.0666666666666666,0.3084432590152799,0.3300764369117506,1.7142857142857142,24.314285714285717,0.1452767437842741,18.5,15.9
2022-03,Hunter New England,0.0666666666666666,0.2696729523893069,0.3166666666666666,1.6857142857142855,17.52857142857143,0.1399999999999999,41.5,45.1
2022-04,Hunter New England,0.0666666666666666,0.5196729523893069,0.5,1.6,15.7,0.14,42.3,43.1
