sex,lhd,financial year,"rate per 100,000 population"
Females,Western Sydney,2014/2015,207.1
Females,Western Sydney,2015/2016,218.4
Females,Western Sydney,2016/2017,211.8
Females,Western Sydney,2017/2018,217.1
Females,Western Sydney,2018/2019,208.9
Females,Western Sydney,2019/2020,193.5
Females,Western Sydney,2020/2021,131.7
Females,Western Sydney,2021/2022,118.9
Females,Nepean Blue Mountains,2001/2002,196.5
Females,Nepean Blue Mountains,2002/2003,237.8
Females,Nepean Blue Mountains,2003/2004,222.7
Females,Nepean Blue Mountains,2004/2005,239.6
Females,Nepean Blue Mountains,2005/2006,222.2
Females,Nepean Blue Mountains,2006/2007,267.4
Females,Nepean Blue Mountains,2007/2008,227.9
Females,Nepean Blue Mountains,2008/2009,243.7
Females,Nepean Blue Mountains,2009/2010,222.3
Females,Nepean Blue Mountains,2010/2011,244.9
Females,Nepean Blue Mountains,2011/2012,238.3
Females,Nepean Blue Mountains,2012/2013,221.9
Females,Nepean Blue Mountains,2013/2014,235.6
Females,Nepean Blue Mountains,2014/2015,241.1
Females,Nepean Blue Mountains,2015/2016,237.6
Females,Nepean Blue Mountains,2016/2017,277.6
Females,Nepean Blue Mountains,2017/2018,271.7
Females,Nepean Blue Mountains,2018/2019,247.4
Females,Nepean Blue Mountains,2019/2020,209.6
Females,Nepean Blue Mountains,2020/2021,141
Females,Nepean Blue Mountains,2021/2022,122.5
Females,Northern Sydney,2001/2002,127.8
Females,Northern Sydney,2002/2003,112.8
Females,Northern Sydney,2003/2004,106.9
Females,Northern Sydney,2004/2005,104.7
Females,Northern Sydney,2005/2006,96.1
Females,Northern Sydney,2006/2007,91.7
Females,Northern Sydney,2007/2008,111.5
Females,Northern Sydney,2008/2009,104.3
Females,Northern Sydney,2009/2010,106.4
Females,Northern Sydney,2010/2011,113.3
Females,Northern Sydney,2011/2012,116.7
Females,Northern Sydney,2012/2013,105.4
Females,Northern Sydney,2013/2014,106.9
Females,Northern Sydney,2014/2015,120.8
Females,Northern Sydney,2015/2016,116
Females,Northern Sydney,2016/2017,109.3
Females,Northern Sydney,2017/2018,102.9
Females,Northern Sydney,2018/2019,93.4
Females,Northern Sydney,2019/2020,78.9
Females,Northern Sydney,2020/2021,58.1
Females,Northern Sydney,2021/2022,56.1
Females,Central Coast,2001/2002,235.4
Females,Central Coast,2002/2003,228.1
Females,Central Coast,2003/2004,219
Females,Central Coast,2004/2005,251.2
Females,Central Coast,2005/2006,237.8
Females,Central Coast,2006/2007,254.3
Females,Central Coast,2007/2008,274
Females,Central Coast,2008/2009,275.5
Females,Central Coast,2009/2010,263.1
Females,Central Coast,2010/2011,284.7
Females,Central Coast,2011/2012,292.8
Females,Central Coast,2012/2013,242.5
Females,Central Coast,2013/2014,283.6
Females,Central Coast,2014/2015,277
Females,Central Coast,2015/2016,301.9
Females,Central Coast,2016/2017,312.5
Females,Central Coast,2017/2018,298.9
Females,Central Coast,2018/2019,307.8
Females,Central Coast,2019/2020,273.4
Females,Central Coast,2020/2021,204.3
Females,Central Coast,2021/2022,173.6
Females,Hunter New England,2001/2002,210.8
Females,Hunter New England,2002/2003,212.2
Females,Hunter New England,2003/2004,207.4
Females,Hunter New England,2004/2005,199.7
Females,Hunter New England,2005/2006,188.4
Females,Hunter New England,2006/2007,193
Females,Hunter New England,2007/2008,226.4
Females,Hunter New England,2008/2009,212
Females,Hunter New England,2009/2010,234.3
Females,Hunter New England,2010/2011,232.5
Females,Hunter New England,2011/2012,232
Females,Hunter New England,2012/2013,248.6
Females,Hunter New England,2013/2014,228.4
Females,Hunter New England,2014/2015,239.3
Females,Hunter New England,2015/2016,235
Females,Hunter New England,2016/2017,256.4
Females,Hunter New England,2017/2018,256.1
Females,Hunter New England,2018/2019,240.1
Females,Hunter New England,2019/2020,217
Females,Hunter New England,2020/2021,147.5
Females,Hunter New England,2021/2022,150
Females,Northern NSW,2001/2002,180
Females,Northern NSW,2002/2003,195
Females,Northern NSW,2003/2004,241.3
Females,Northern NSW,2004/2005,210
Females,Northern NSW,2005/2006,237.5
