Risk group,Sex,LHD,Period,"Rate per 100,000 population",LL 95% CI,UL 95% CI
65+ years,Females,South Eastern Sydney LHD,15/16,780.2,715.3,849.3
65+ years,Females,South Eastern Sydney LHD,16/17,822.8,757,892.7
65+ years,Females,South Eastern Sydney LHD,17/18,785,721,853.1
65+ years,Females,South Eastern Sydney LHD,18/19,753.3,691.5,819
65+ years,Females,South Eastern Sydney LHD,19/20,691.1,632.3,754
65+ years,Females,South Eastern Sydney LHD,20/21,396.3,353,443.4
65+ years,Females,South Eastern Sydney LHD,21/22,377.1,335.5,422.3
65+ years,Females,Illawarra Shoalhaven LHD,01/02,"1,102.10",985.2,"1,229.10"
65+ years,Females,Illawarra Shoalhaven LHD,02/03,"1,143.80","1,025.90","1,271.50"
65+ years,Females,Illawarra Shoalhaven LHD,03/04,"1,278.60","1,155.20","1,411.60"
65+ years,Females,Illawarra Shoalhaven LHD,04/05,"1,214.20","1,095.10","1,342.80"
65+ years,Females,Illawarra Shoalhaven LHD,05/06,"1,195.40","1,078.50","1,321.50"
65+ years,Females,Illawarra Shoalhaven LHD,06/07,"1,190.80","1,075.30","1,315.30"
65+ years,Females,Illawarra Shoalhaven LHD,07/08,"1,149.10","1,036.90","1,270.10"
65+ years,Females,Illawarra Shoalhaven LHD,08/09,"1,145.50","1,035.00","1,264.50"
65+ years,Females,Illawarra Shoalhaven LHD,09/10,"1,286.20","1,169.00","1,411.90"
65+ years,Females,Illawarra Shoalhaven LHD,10/11,"1,222.70","1,112.60","1,340.70"
65+ years,Females,Illawarra Shoalhaven LHD,11/12,"1,234.70","1,123.60","1,353.60"
65+ years,Females,Illawarra Shoalhaven LHD,12/13,"1,297.50","1,185.10","1,417.50"
65+ years,Females,Illawarra Shoalhaven LHD,13/14,"1,275.70","1,164.90","1,394.00"
65+ years,Females,Illawarra Shoalhaven LHD,14/15,"1,426.00","1,309.90","1,549.50"
65+ years,Females,Illawarra Shoalhaven LHD,15/16,"1,309.50","1,200.00","1,426.20"
65+ years,Females,Illawarra Shoalhaven LHD,16/17,"1,271.00","1,164.70","1,384.30"
65+ years,Females,Illawarra Shoalhaven LHD,17/18,"1,422.60","1,310.20","1,541.90"
65+ years,Females,Illawarra Shoalhaven LHD,18/19,"1,464.00","1,351.10","1,583.80"
65+ years,Females,Illawarra Shoalhaven LHD,19/20,"1,420.40","1,311.20","1,536.30"
65+ years,Females,Illawarra Shoalhaven LHD,20/21,883.2,798.6,974.1
65+ years,Females,Illawarra Shoalhaven LHD,21/22,911,826.6,"1,001.60"
65+ years,Females,Western Sydney LHD,01/02,"1,188.50","1,081.60","1,303.20"
65+ years,Females,Western Sydney LHD,02/03,"1,157.30","1,051.90","1,270.40"
65+ years,Females,Western Sydney LHD,03/04,"1,229.80","1,121.40","1,345.80"
65+ years,Females,Western Sydney LHD,04/05,"1,037.20",939.1,"1,142.70"
65+ years,Females,Western Sydney LHD,05/06,"1,050.70",952.4,"1,156.40"
65+ years,Females,Western Sydney LHD,06/07,"1,079.70",980.5,"1,186.20"
65+ years,Females,Western Sydney LHD,07/08,"1,049.90",953.4,"1,153.30"
65+ years,Females,Western Sydney LHD,08/09,"1,294.90","1,189.20","1,407.40"
65+ years,Females,Western Sydney LHD,09/10,"1,133.90","1,036.60","1,237.90"
65+ years,Females,Western Sydney LHD,10/11,"1,238.10","1,137.50","1,345.20"
65+ years,Females,Western Sydney LHD,11/12,"1,207.50","1,110.00","1,311.20"
65+ years,Females,Western Sydney LHD,12/13,"1,219.00","1,121.70","1,322.50"
65+ years,Females,Western Sydney LHD,13/14,"1,175.50","1,081.50","1,275.30"
65+ years,Females,Western Sydney LHD,14/15,"1,274.10","1,177.20","1,376.80"
65+ years,Females,Western Sydney LHD,15/16,"1,391.10","1,291.50","1,496.20"
65+ years,Females,Western Sydney LHD,16/17,"1,284.50","1,190.80","1,383.50"
65+ years,Females,Western Sydney LHD,17/18,"1,376.00","1,280.40","1,476.70"
65+ years,Females,Western Sydney LHD,18/19,"1,329.30","1,237.00","1,426.70"
65+ years,Females,Western Sydney LHD,19/20,"1,087.90","1,007.00","1,173.50"
65+ years,Females,Western Sydney LHD,20/21,751.8,685.8,822.4
65+ years,Females,Western Sydney LHD,21/22,667.4,606.7,732.5
65+ years,Females,Nepean Blue Mountains LHD,01/02,"1,042.40",894.9,"1,207.20"
65+ years,Females,Nepean Blue Mountains LHD,02/03,"1,264.40","1,102.60","1,443.10"
65+ years,Females,Nepean Blue Mountains LHD,03/04,"1,307.50","1,144.20","1,487.50"
65+ years,Females,Nepean Blue Mountains LHD,04/05,"1,460.50","1,288.40","1,649.10"
65+ years,Females,Nepean Blue Mountains LHD,05/06,"1,299.30","1,137.80","1,477.00"
65+ years,Females,Nepean Blue Mountains LHD,06/07,"1,624.00","1,444.60","1,819.20"
65+ years,Females,Nepean Blue Mountains LHD,07/08,"1,442.30","1,275.70","1,624.50"
65+ years,Females,Nepean Blue Mountains LHD,08/09,"1,395.70","1,233.20","1,573.50"
65+ years,Females,Nepean Blue Mountains LHD,09/10,"1,255.30","1,103.40","1,421.90"
65+ years,Females,Nepean Blue Mountains LHD,10/11,"1,443.90","1,283.50","1,618.50"
65+ years,Females,Nepean Blue Mountains LHD,11/12,"1,416.30","1,261.70","1,584.50"
65+ years,Females,Nepean Blue Mountains LHD,12/13,"1,270.50","1,126.70","1,427.40"
65+ years,Females,Nepean Blue Mountains LHD,13/14,"1,301.30","1,158.30","1,456.90"
65+ years,Females,Nepean Blue Mountains LHD,14/15,"1,347.40","1,204.30","1,502.60"
65+ years,Females,Nepean Blue Mountains LHD,15/16,"1,392.70","1,249.30","1,547.80"
65+ years,Females,Nepean Blue Mountains LHD,16/17,"1,616.60","1,466.20","1,778.10"
65+ years,Females,Nepean Blue Mountains LHD,17/18,"1,500.20","1,358.50","1,652.60"
65+ years,Females,Nepean Blue Mountains LHD,18/19,"1,426.90","1,291.00","1,573.10"
65+ years,Females,Nepean Blue Mountains LHD,19/20,"1,162.70","1,042.90","1,292.40"
65+ years,Females,Nepean Blue Mountains LHD,20/21,806.6,709,913.8
65+ years,Females,Nepean Blue Mountains LHD,21/22,681.4,595.3,776.5
65+ years,Females,Northern Sydney LHD,01/02,797.4,730,869.3
65+ years,Females,Northern Sydney LHD,02/03,669.9,609.1,735.3
65+ years,Females,Northern Sydney LHD,03/04,644.5,585.2,708.2
65+ years,Females,Northern Sydney LHD,04/05,604.4,546.5,666.9
65+ years,Females,Northern Sydney LHD,05/06,627.8,569.1,690.9
65+ years,Females,Northern Sydney LHD,06/07,616.8,558.3,679.8
65+ years,Females,Northern Sydney LHD,07/08,770.4,705,840.1
65+ years,Females,Northern Sydney LHD,08/09,713.8,651.7,780.4
65+ years,Females,Northern Sydney LHD,09/10,709.3,647.5,775.5
65+ years,Females,Northern Sydney LHD,10/11,712.5,650.6,778.8
65+ years,Females,Northern Sydney LHD,11/12,727.8,666.2,793.5
65+ years,Females,Northern Sydney LHD,12/13,701.6,642.2,765
65+ years,Females,Northern Sydney LHD,13/14,693.6,634.3,756.8
65+ years,Females,Northern Sydney LHD,14/15,798.9,735.7,866.1
65+ years,Females,Northern Sydney LHD,15/16,761.9,701,826.7
65+ years,Females,Northern Sydney LHD,16/17,722.5,664.3,784.3
65+ years,Females,Northern Sydney LHD,17/18,690.1,634.1,749.6
65+ years,Females,Northern Sydney LHD,18/19,630.3,577.6,686.5
65+ years,Females,Northern Sydney LHD,19/20,524.5,476.5,575.9
65+ years,Females,Northern Sydney LHD,20/21,368.5,329.2,411.3
65+ years,Females,Northern Sydney LHD,21/22,383.3,343.8,426.1
65+ years,Females,Central Coast LHD,01/02,"1,278.60","1,153.30","1,413.80"
65+ years,Females,Central Coast LHD,02/03,"1,297.60","1,169.90","1,435.40"
65+ years,Females,Central Coast LHD,03/04,"1,229.50","1,106.80","1,361.90"
65+ years,Females,Central Coast LHD,04/05,"1,328.50","1,200.20","1,466.70"
65+ years,Females,Central Coast LHD,05/06,"1,386.90","1,257.30","1,526.10"
65+ years,Females,Central Coast LHD,06/07,"1,514.00","1,379.80","1,657.70"
65+ years,Females,Central Coast LHD,07/08,"1,605.00","1,466.90","1,752.50"
65+ years,Females,Central Coast LHD,08/09,"1,577.70","1,441.40","1,723.30"
65+ years,Females,Central Coast LHD,09/10,"1,443.60","1,314.80","1,581.50"
65+ years,Females,Central Coast LHD,10/11,"1,544.20","1,412.20","1,685.10"
65+ years,Females,Central Coast LHD,11/12,"1,612.50","1,477.50","1,756.30"
65+ years,Females,Central Coast LHD,12/13,"1,357.00","1,234.20","1,488.50"
65+ years,Females,Central Coast LHD,13/14,"1,526.50","1,398.10","1,663.30"
65+ years,Females,Central Coast LHD,14/15,"1,584.80","1,456.20","1,721.70"
65+ years,Females,Central Coast LHD,15/16,"1,597.40","1,469.10","1,733.70"
65+ years,Females,Central Coast LHD,16/17,"1,712.70","1,581.20","1,852.20"
65+ years,Females,Central Coast LHD,17/18,"1,689.50","1,559.40","1,827.40"
65+ years,Females,Central Coast LHD,18/19,"1,692.40","1,564.40","1,828.10"
65+ years,Females,Central Coast LHD,19/20,"1,511.10","1,392.10","1,637.40"
65+ years,Females,Central Coast LHD,20/21,"1,062.70",964.2,"1,168.40"
65+ years,Females,Central Coast LHD,21/22,917.3,827,"1,014.70"
65+ years,Females,Hunter New England LHD,01/02,"1,188.40","1,107.30","1,273.80"
65+ years,Females,Hunter New England LHD,02/03,"1,150.40","1,071.30","1,233.80"
65+ years,Females,Hunter New England LHD,03/04,"1,091.50","1,014.50","1,172.70"
65+ years,Females,Hunter New England LHD,04/05,"1,111.30","1,034.00","1,192.80"
65+ years,Females,Hunter New England LHD,05/06,"1,056.70",982.1,"1,135.50"
65+ years,Females,Hunter New England LHD,06/07,"1,044.30",970.2,"1,122.60"
65+ years,Females,Hunter New England LHD,07/08,"1,210.30","1,131.70","1,293.00"
65+ years,Females,Hunter New England LHD,08/09,"1,132.90","1,057.70","1,212.00"
65+ years,Females,Hunter New England LHD,09/10,"1,279.90","1,200.60","1,363.10"
65+ years,Females,Hunter New England LHD,10/11,"1,215.70","1,140.00","1,295.10"
65+ years,Females,Hunter New England LHD,11/12,"1,235.50","1,159.70","1,314.90"
65+ years,Females,Hunter New England LHD,12/13,"1,310.60","1,233.30","1,391.50"
65+ years,Females,Hunter New England LHD,13/14,"1,222.20","1,148.60","1,299.20"
65+ years,Females,Hunter New England LHD,14/15,"1,332.70","1,256.00","1,412.90"
65+ years,Females,Hunter New England LHD,15/16,"1,341.40","1,265.30","1,421.00"
65+ years,Females,Hunter New England LHD,16/17,"1,409.70","1,332.60","1,490.10"
65+ years,Females,Hunter New England LHD,17/18,"1,387.90","1,312.40","1,466.60"
65+ years,Females,Hunter New England LHD,18/19,"1,292.00","1,220.40","1,366.70"
65+ years,Females,Hunter New England LHD,19/20,"1,211.70","1,143.60","1,282.90"
65+ years,Females,Hunter New England LHD,20/21,835.5,779.9,893.9
65+ years,Females,Hunter New England LHD,21/22,815.7,761.5,872.7
65+ years,Females,Northern NSW LHD,01/02,928,812.1,"1,055.80"
65+ years,Females,Northern NSW LHD,02/03,967.3,850.1,"1,096.10"
65+ years,Females,Northern NSW LHD,03/04,"1,187.40","1,057.70","1,328.50"
65+ years,Females,Northern NSW LHD,04/05,"1,063.50",942.4,"1,195.70"
65+ years,Females,Northern NSW LHD,05/06,"1,274.50","1,142.10","1,417.90"
65+ years,Females,Northern NSW LHD,06/07,"1,069.80",950.1,"1,200.40"
65+ years,Females,Northern NSW LHD,07/08,"1,249.20","1,119.90","1,389.20"
65+ years,Females,Northern NSW LHD,08/09,"1,345.80","1,213.30","1,488.70"
65+ years,Females,Northern NSW LHD,09/10,"1,203.20","1,079.50","1,337.20"
65+ years,Females,Northern NSW LHD,10/11,"1,193.40","1,071.50","1,325.20"
65+ years,Females,Northern NSW LHD,11/12,"1,126.60","1,009.90","1,252.90"
65+ years,Females,Northern NSW LHD,12/13,"1,292.20","1,167.90","1,425.90"
65+ years,Females,Northern NSW LHD,13/14,"1,234.70","1,115.10","1,363.50"
65+ years,Females,Northern NSW LHD,14/15,"1,220.10","1,101.00","1,348.50"
65+ years,Females,Northern NSW LHD,15/16,"1,301.20","1,180.50","1,430.80"
65+ years,Females,Northern NSW LHD,16/17,"1,315.90","1,197.40","1,442.80"
65+ years,Females,Northern NSW LHD,17/18,"1,495.40","1,369.10","1,630.00"
65+ years,Females,Northern NSW LHD,18/19,"1,226.60","1,113.40","1,348.10"
65+ years,Females,Northern NSW LHD,19/20,"1,152.40","1,044.60","1,268.30"
65+ years,Females,Northern NSW LHD,20/21,776.5,690.8,869.8
65+ years,Females,Northern NSW LHD,21/22,762.6,678.6,854.2
65+ years,Females,Mid North Coast LHD,01/02,"1,256.20","1,099.70","1,428.60"
65+ years,Females,Mid North Coast LHD,02/03,"1,089.70",946.2,"1,248.80"
65+ years,Females,Mid North Coast LHD,03/04,"1,157.80","1,011.80","1,319.00"
65+ years,Females,Mid North Coast LHD,04/05,"1,047.40",908.6,"1,201.10"
65+ years,Females,Mid North Coast LHD,05/06,921.5,794,"1,063.60"
65+ years,Females,Mid North Coast LHD,06/07,832,711.1,967.3
65+ years,Females,Mid North Coast LHD,07/08,"1,234.00","1,086.90","1,395.10"
65+ years,Females,Mid North Coast LHD,08/09,"1,371.10","1,218.50","1,537.40"
65+ years,Females,Mid North Coast LHD,09/10,"1,315.30","1,169.50","1,474.20"
