financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm
2002/2003,Mid North Coast,0.14317379384489773,0.18945427313523502,0.3526345467238718,2.445216608352567,NA,0.07301392987296852
2003/2004,Mid North Coast,0.17858872877420276,0.11637121427536641,0.351300382540419,2.4853325575600858,NA,0.05095127115893614
2004/2005,Mid North Coast,0.1267847249607739,0.1104499664150052,0.28493644599599005,2.199767773298766,NA,0.03728732048224909
2005/2006,Mid North Coast,0.11863722679843432,0.12439196903213001,0.3421703624806816,2.240606846616339,NA,0.0608449415608071
2006/2007,Mid North Coast,0.12849482645139246,0.14871382172375944,0.2751877479260472,1.9901957603238392,NA,0.04251856558492883
2007/2008,Mid North Coast,0.07143266178015173,0.07785987623418694,0.23722928724053646,1.8970128758702443,NA,0.02324618027764751
2008/2009,Mid North Coast,0.14971234063492614,0.123108094763463,0.27665499655417125,2.052035942540315,NA,0.05566706356532327
2009/2010,Mid North Coast,0.1254232688874943,0.1323322461063915,0.2846216124062047,2.187645152141386,NA,0.04635197989233552
2010/2011,Mid North Coast,0.10103908113645887,0.011024194785525241,0.21816108278171695,2.0386490931967667,NA,0.0
2011/2012,Mid North Coast,0.10459608358745655,0.027226492190420084,0.22630853848018823,1.680972417280996,NA,0.026418037154791237
2012/2013,Mid North Coast,0.13022382963412613,0.012109062170924147,0.1932396715862271,1.7966913931357784,NA,0.0
2013/2014,Mid North Coast,0.1562083042844751,0.05641461663318392,0.26000446516841774,1.7967019305581549,NA,0.03141014500279304
2014/2015,Mid North Coast,0.16032242982742909,0.08587489908605145,0.260244219635097,1.8852401280939295,NA,0.024682669789356432
2015/2016,Mid North Coast,0.18342771661006588,0.16431761072011822,0.31942314014280443,1.9225827853585724,NA,0.09848065255206805
2016/2017,Mid North Coast,0.16776474558640522,0.09894443706541872,0.2796014461096064,2.033003849116106,NA,0.038525025541782304
