date,sex,lhd,"rate per 100,000 population"
2019-07,Males,Illawarra Shoalhaven,28.0
2019-08,Males,Illawarra Shoalhaven,21.8
2019-09,Males,Illawarra Shoalhaven,24.1
2019-10,Males,Illawarra Shoalhaven,19.8
2019-11,Males,Illawarra Shoalhaven,19.4
2019-12,Males,Illawarra Shoalhaven,23.9
2020-01,Males,Illawarra Shoalhaven,27.2
2020-02,Males,Illawarra Shoalhaven,34.5
2020-03,Males,Illawarra Shoalhaven,39.0
2020-04,Males,Illawarra Shoalhaven,9.4
2020-05,Males,Illawarra Shoalhaven,7.2
2020-06,Males,Illawarra Shoalhaven,25.7
2020-07,Males,Illawarra Shoalhaven,17.0
2020-08,Males,Illawarra Shoalhaven,18.2
2020-09,Males,Illawarra Shoalhaven,17.5
2020-10,Males,Illawarra Shoalhaven,17.7
2020-11,Males,Illawarra Shoalhaven,25.4
2020-12,Males,Illawarra Shoalhaven,21.0
2021-01,Males,Illawarra Shoalhaven,7.1
2021-02,Males,Illawarra Shoalhaven,19.4
2021-03,Males,Illawarra Shoalhaven,29.6
2021-04,Males,Illawarra Shoalhaven,24.5
2021-05,Males,Illawarra Shoalhaven,28.1
2021-06,Males,Illawarra Shoalhaven,21.6
2021-07,Males,Illawarra Shoalhaven,14.6
2021-08,Males,Illawarra Shoalhaven,8.8
2021-09,Males,Illawarra Shoalhaven,7.6
2021-10,Males,Illawarra Shoalhaven,12.5
2021-11,Males,Illawarra Shoalhaven,16.3
2021-12,Males,Illawarra Shoalhaven,12.6
2022-01,Males,Illawarra Shoalhaven,9.7
2022-02,Males,Illawarra Shoalhaven,17.4
2022-03,Males,Illawarra Shoalhaven,33.8
2022-04,Males,Illawarra Shoalhaven,26.3
2022-05,Males,Illawarra Shoalhaven,48.2
2022-06,Males,Illawarra Shoalhaven,37.5
2022-07,Males,Illawarra Shoalhaven,17.2
2022-08,Males,Illawarra Shoalhaven,25.3
2022-09,Males,Illawarra Shoalhaven,27.3
2022-10,Males,Illawarra Shoalhaven,21.5
2022-11,Males,Illawarra Shoalhaven,12.9
