sex,lhd,financial year,"rate per 100,000 population"
Females,Hunter New England,2013/2014,240.5
Females,Hunter New England,2014/2015,317.4
Females,Hunter New England,2015/2016,312.2
Females,Hunter New England,2016/2017,344.5
Females,Hunter New England,2017/2018,398.8
Females,Hunter New England,2018/2019,341.7
Females,Hunter New England,2019/2020,325.8
Females,Hunter New England,2020/2021,193.2
Females,Northern NSW,2001/2002,288.3
Females,Northern NSW,2002/2003,318.4
Females,Northern NSW,2003/2004,257
Females,Northern NSW,2004/2005,242.2
Females,Northern NSW,2005/2006,251.2
Females,Northern NSW,2006/2007,235.6
Females,Northern NSW,2007/2008,278.8
Females,Northern NSW,2008/2009,291.2
Females,Northern NSW,2009/2010,265.5
Females,Northern NSW,2010/2011,233.1
Females,Northern NSW,2011/2012,269.2
Females,Northern NSW,2012/2013,245.6
Females,Northern NSW,2013/2014,224.4
Females,Northern NSW,2014/2015,291.9
Females,Northern NSW,2015/2016,303.2
Females,Northern NSW,2016/2017,273.4
Females,Northern NSW,2017/2018,358.9
Females,Northern NSW,2018/2019,344.3
Females,Northern NSW,2019/2020,383.1
Females,Northern NSW,2020/2021,190.4
Females,Mid North Coast,2001/2002,301.8
Females,Mid North Coast,2002/2003,332.7
Females,Mid North Coast,2003/2004,365
Females,Mid North Coast,2004/2005,337.4
Females,Mid North Coast,2005/2006,280.8
Females,Mid North Coast,2006/2007,278.4
Females,Mid North Coast,2007/2008,339.7
Females,Mid North Coast,2008/2009,357.1
Females,Mid North Coast,2009/2010,319
Females,Mid North Coast,2010/2011,292.9
Females,Mid North Coast,2011/2012,300.6
Females,Mid North Coast,2012/2013,329.4
Females,Mid North Coast,2013/2014,277.9
Females,Mid North Coast,2014/2015,342.3
Females,Mid North Coast,2015/2016,357
Females,Mid North Coast,2016/2017,298.2
Females,Mid North Coast,2017/2018,355.7
Females,Mid North Coast,2018/2019,342.1
Females,Mid North Coast,2019/2020,341.3
Females,Mid North Coast,2020/2021,243.3
Females,Southern NSW,2001/2002,271.7
Females,Southern NSW,2002/2003,299.9
Females,Southern NSW,2003/2004,292.5
Females,Southern NSW,2004/2005,275.5
Females,Southern NSW,2005/2006,238.2
Females,Southern NSW,2006/2007,249.4
Females,Southern NSW,2007/2008,303.6
Females,Southern NSW,2008/2009,317
Females,Southern NSW,2009/2010,299.7
Females,Southern NSW,2010/2011,395.9
Females,Southern NSW,2011/2012,313.1
Females,Southern NSW,2012/2013,296.5
Females,Southern NSW,2013/2014,278.1
Females,Southern NSW,2014/2015,315.8
Females,Southern NSW,2015/2016,347.7
Females,Southern NSW,2016/2017,391.8
Females,Southern NSW,2017/2018,440
Females,Southern NSW,2018/2019,383.7
Females,Southern NSW,2019/2020,344
Females,Southern NSW,2020/2021,255.7
Females,Murrumbidgee,2001/2002,333.3
Females,Murrumbidgee,2002/2003,368
Females,Murrumbidgee,2003/2004,401.5
Females,Murrumbidgee,2004/2005,369.5
Females,Murrumbidgee,2005/2006,357.2
Females,Murrumbidgee,2006/2007,327
Females,Murrumbidgee,2007/2008,400.6
Females,Murrumbidgee,2008/2009,374.6
Females,Murrumbidgee,2009/2010,352.8
Females,Murrumbidgee,2010/2011,433.8
Females,Murrumbidgee,2011/2012,345.9
Females,Murrumbidgee,2012/2013,340.5
Females,Murrumbidgee,2013/2014,342.3
Females,Murrumbidgee,2014/2015,403.3
Females,Murrumbidgee,2015/2016,436.5
Females,Murrumbidgee,2016/2017,470.3
Females,Murrumbidgee,2017/2018,498.7
Females,Murrumbidgee,2018/2019,487.7
Females,Murrumbidgee,2019/2020,479.1
Females,Murrumbidgee,2020/2021,262.2
Females,Western NSW,2001/2002,438.9
Females,Western NSW,2002/2003,465.9
Females,Western NSW,2003/2004,478
Females,Western NSW,2004/2005,404.8
Females,Western NSW,2005/2006,457.2
Females,Western NSW,2006/2007,344.8
