sex,lhd,date,"rate per 100,000 population"
Males,Illawarra Shoalhaven,2017-05,53.3
Males,Illawarra Shoalhaven,2017-06,32.8
Males,Illawarra Shoalhaven,2017-07,42.0
Males,Illawarra Shoalhaven,2017-08,26.5
Males,Illawarra Shoalhaven,2017-09,23.5
Males,Illawarra Shoalhaven,2017-10,32.9
Males,Illawarra Shoalhaven,2017-11,27.2
Males,Illawarra Shoalhaven,2017-12,23.3
Males,Illawarra Shoalhaven,2018-01,20.6
Males,Illawarra Shoalhaven,2018-02,51.2
Males,Illawarra Shoalhaven,2018-03,39.2
Males,Illawarra Shoalhaven,2018-04,30.6
Males,Illawarra Shoalhaven,2018-05,44.6
Males,Illawarra Shoalhaven,2018-06,36.2
Males,Illawarra Shoalhaven,2018-07,26.6
Males,Illawarra Shoalhaven,2018-08,20.0
Males,Illawarra Shoalhaven,2018-09,27.8
Males,Illawarra Shoalhaven,2018-10,16.4
Males,Illawarra Shoalhaven,2018-11,23.7
Males,Illawarra Shoalhaven,2018-12,29.4
Males,Illawarra Shoalhaven,2019-01,21.7
Males,Illawarra Shoalhaven,2019-02,43.3
Males,Illawarra Shoalhaven,2019-03,29.1
Males,Illawarra Shoalhaven,2019-04,30.9
Males,Illawarra Shoalhaven,2019-05,38.4
Males,Illawarra Shoalhaven,2019-06,31.0
Males,Illawarra Shoalhaven,2019-07,28.0
Males,Illawarra Shoalhaven,2019-08,21.8
Males,Illawarra Shoalhaven,2019-09,24.1
Males,Illawarra Shoalhaven,2019-10,19.8
Males,Illawarra Shoalhaven,2019-11,19.4
Males,Illawarra Shoalhaven,2019-12,23.9
Males,Illawarra Shoalhaven,2020-01,27.2
Males,Illawarra Shoalhaven,2020-02,34.5
Males,Illawarra Shoalhaven,2020-03,39.0
Males,Illawarra Shoalhaven,2020-04,9.4
Males,Illawarra Shoalhaven,2020-05,7.2
Males,Illawarra Shoalhaven,2020-06,25.7
Males,Illawarra Shoalhaven,2020-07,17.0
Males,Illawarra Shoalhaven,2020-08,18.2
Males,Illawarra Shoalhaven,2020-09,17.5
Males,Illawarra Shoalhaven,2020-10,17.7
Males,Illawarra Shoalhaven,2020-11,25.4
Males,Illawarra Shoalhaven,2020-12,21.0
Males,Illawarra Shoalhaven,2021-01,7.1
Males,Illawarra Shoalhaven,2021-02,19.4
Males,Illawarra Shoalhaven,2021-03,29.6
Males,Illawarra Shoalhaven,2021-04,24.5
Males,Illawarra Shoalhaven,2021-05,28.1
Males,Illawarra Shoalhaven,2021-06,21.6
Males,Illawarra Shoalhaven,2021-07,14.6
Males,Illawarra Shoalhaven,2021-08,8.8
Males,Illawarra Shoalhaven,2021-09,7.6
Males,Illawarra Shoalhaven,2021-10,12.5
Males,Illawarra Shoalhaven,2021-11,16.3
Males,Illawarra Shoalhaven,2021-12,12.6
Males,Illawarra Shoalhaven,2022-01,9.7
Males,Illawarra Shoalhaven,2022-02,17.4
Males,Illawarra Shoalhaven,2022-03,33.8
Males,Illawarra Shoalhaven,2022-04,26.3
Males,Illawarra Shoalhaven,2022-05,48.2
Males,Illawarra Shoalhaven,2022-06,37.5
Males,Illawarra Shoalhaven,2022-07,17.2
Males,Illawarra Shoalhaven,2022-08,25.3
Males,Illawarra Shoalhaven,2022-09,27.3
Males,Illawarra Shoalhaven,2022-10,21.5
Males,Illawarra Shoalhaven,2022-11,12.9
Males,Illawarra Shoalhaven,2022-12,18.3
Males,Illawarra Shoalhaven,2023-01,15.1
Males,Illawarra Shoalhaven,2023-02,22.9
Males,Illawarra Shoalhaven,2023-03,31.2
Males,Illawarra Shoalhaven,2023-04,19.5
Males,Illawarra Shoalhaven,2023-05,34.8
Males,Illawarra Shoalhaven,2023-06,23.0
Males,Western Sydney,2014-07,28.9
Males,Western Sydney,2014-08,29.5
Males,Western Sydney,2014-09,23.6
Males,Western Sydney,2014-10,23.1
Males,Western Sydney,2014-11,21.1
Males,Western Sydney,2014-12,28.0
Males,Western Sydney,2015-01,13.2
Males,Western Sydney,2015-02,28.5
Males,Western Sydney,2015-03,28.1
Males,Western Sydney,2015-04,30.4
Males,Western Sydney,2015-05,35.1
Males,Western Sydney,2015-06,29.6
Males,Western Sydney,2015-07,25.8
Males,Western Sydney,2015-08,30.0
Males,Western Sydney,2015-09,24.1
Males,Western Sydney,2015-10,24.3
Males,Western Sydney,2015-11,22.5
Males,Western Sydney,2015-12,16.0
Males,Western Sydney,2016-01,18.5
Males,Western Sydney,2016-02,36.4
Males,Western Sydney,2016-03,25.3
Males,Western Sydney,2016-04,27.6
Males,Western Sydney,2016-05,34.0
Males,Western Sydney,2016-06,26.2
Males,Western Sydney,2016-07,21.8
Males,Western Sydney,2016-08,30.7
Males,Western Sydney,2016-09,26.0
Males,Western Sydney,2016-10,24.3
Males,Western Sydney,2016-11,20.3
Males,Western Sydney,2016-12,20.5
Males,Western Sydney,2017-01,12.3
Males,Western Sydney,2017-02,30.3
Males,Western Sydney,2017-03,28.7
Males,Western Sydney,2017-04,25.4
Males,Western Sydney,2017-05,33.6
Males,Western Sydney,2017-06,31.5
Males,Western Sydney,2017-07,21.6
Males,Western Sydney,2017-08,22.1
Males,Western Sydney,2017-09,20.1
Males,Western Sydney,2017-10,18.4
Males,Western Sydney,2017-11,25.6
Males,Western Sydney,2017-12,19.5
Males,Western Sydney,2018-01,13.3
Males,Western Sydney,2018-02,27.5
Males,Western Sydney,2018-03,26.7
Males,Western Sydney,2018-04,15.9
Males,Western Sydney,2018-05,29.8
Males,Western Sydney,2018-06,21.6
Males,Western Sydney,2018-07,14.7
Males,Western Sydney,2018-08,17.2
Males,Western Sydney,2018-09,20.8
Males,Western Sydney,2018-10,16.0
Males,Western Sydney,2018-11,16.9
Males,Western Sydney,2018-12,17.1
Males,Western Sydney,2019-01,15.5
Males,Western Sydney,2019-02,26.1
Males,Western Sydney,2019-03,28.6
Males,Western Sydney,2019-04,28.4
Males,Western Sydney,2019-05,30.6
Males,Western Sydney,2019-06,24.2
Males,Western Sydney,2019-07,13.9
Males,Western Sydney,2019-08,20.3
Males,Western Sydney,2019-09,19.3
Males,Western Sydney,2019-10,19.0
Males,Western Sydney,2019-11,19.1
Males,Western Sydney,2019-12,19.5
Males,Western Sydney,2020-01,13.1
Males,Western Sydney,2020-02,22.0
Males,Western Sydney,2020-03,22.8
Males,Western Sydney,2020-04,7.9
Males,Western Sydney,2020-05,5.9
Males,Western Sydney,2020-06,19.7
Males,Western Sydney,2020-07,15.7
Males,Western Sydney,2020-08,18.2
Males,Western Sydney,2020-09,12.1
Males,Western Sydney,2020-10,11.3
Males,Western Sydney,2020-11,18.3
Males,Western Sydney,2020-12,7.8
Males,Western Sydney,2021-01,6.7
Males,Western Sydney,2021-02,18.2
Males,Western Sydney,2021-03,19.8
Males,Western Sydney,2021-04,15.3
Males,Western Sydney,2021-05,26.6
Males,Western Sydney,2021-06,18.0
Males,Western Sydney,2021-07,9.3
Males,Western Sydney,2021-08,6.3
Males,Western Sydney,2021-09,5.4
Males,Western Sydney,2021-10,6.5
Males,Western Sydney,2021-11,11.6
Males,Western Sydney,2021-12,7.9
Males,Western Sydney,2022-01,6.7
Males,Western Sydney,2022-02,14.9
Males,Western Sydney,2022-03,27.5
Males,Western Sydney,2022-04,30.5
Males,Western Sydney,2022-05,39.6
Males,Western Sydney,2022-06,19.7
Males,Western Sydney,2022-07,15.7
Males,Western Sydney,2022-08,20.3
Males,Western Sydney,2022-09,17.5
Males,Western Sydney,2022-10,17.3
Males,Western Sydney,2022-11,18.7
Males,Western Sydney,2022-12,13.5
Males,Western Sydney,2023-01,10.7
Males,Western Sydney,2023-02,23.6
Males,Western Sydney,2023-03,14.0
Males,Western Sydney,2023-04,18.0
Males,Western Sydney,2023-05,21.9
Males,Western Sydney,2023-06,18.3
Males,Nepean Blue Mountains,2014-07,31.9
Males,Nepean Blue Mountains,2014-08,33.5
Males,Nepean Blue Mountains,2014-09,41.4
Males,Nepean Blue Mountains,2014-10,32.7
Males,Nepean Blue Mountains,2014-11,22.6
Males,Nepean Blue Mountains,2014-12,29.5
Males,Nepean Blue Mountains,2015-01,20.9
Males,Nepean Blue Mountains,2015-02,32.6
Males,Nepean Blue Mountains,2015-03,29.2
Males,Nepean Blue Mountains,2015-04,29.4
Males,Nepean Blue Mountains,2015-05,42.9
Males,Nepean Blue Mountains,2015-06,31.1
Males,Nepean Blue Mountains,2015-07,29.8
Males,Nepean Blue Mountains,2015-08,38.1
Males,Nepean Blue Mountains,2015-09,29.3
Males,Nepean Blue Mountains,2015-10,26.8
Males,Nepean Blue Mountains,2015-11,25.7
Males,Nepean Blue Mountains,2015-12,18.8
Males,Nepean Blue Mountains,2016-01,20.5
Males,Nepean Blue Mountains,2016-02,47.7
Males,Nepean Blue Mountains,2016-03,28.7
Males,Nepean Blue Mountains,2016-04,22.9
Males,Nepean Blue Mountains,2016-05,29.5
Males,Nepean Blue Mountains,2016-06,28.3
Males,Nepean Blue Mountains,2016-07,30.4
Males,Nepean Blue Mountains,2016-08,33.1
Males,Nepean Blue Mountains,2016-09,30.2
Males,Nepean Blue Mountains,2016-10,27.1
Males,Nepean Blue Mountains,2016-11,24.9
Males,Nepean Blue Mountains,2016-12,19.9
Males,Nepean Blue Mountains,2017-01,14.8
Males,Nepean Blue Mountains,2017-02,29.2
Males,Nepean Blue Mountains,2017-03,32.8
Males,Nepean Blue Mountains,2017-04,36.8
Males,Nepean Blue Mountains,2017-05,47.5
Males,Nepean Blue Mountains,2017-06,38.6
Males,Nepean Blue Mountains,2017-07,29.2
Males,Nepean Blue Mountains,2017-08,23.7
Males,Nepean Blue Mountains,2017-09,22.7
Males,Nepean Blue Mountains,2017-10,26.6
Males,Nepean Blue Mountains,2017-11,26.9
Males,Nepean Blue Mountains,2017-12,21.9
Males,Nepean Blue Mountains,2018-01,10.6
Males,Nepean Blue Mountains,2018-02,21.8
Males,Nepean Blue Mountains,2018-03,30.7
Males,Nepean Blue Mountains,2018-04,31.7
Males,Nepean Blue Mountains,2018-05,42.4
Males,Nepean Blue Mountains,2018-06,32.0
Males,Nepean Blue Mountains,2018-07,25.9
Males,Nepean Blue Mountains,2018-08,24.0
Males,Nepean Blue Mountains,2018-09,24.1
Males,Nepean Blue Mountains,2018-10,20.0
Males,Nepean Blue Mountains,2018-11,20.8
Males,Nepean Blue Mountains,2018-12,18.1
Males,Nepean Blue Mountains,2019-01,23.4
Males,Nepean Blue Mountains,2019-02,35.8
Males,Nepean Blue Mountains,2019-03,38.5
Males,Nepean Blue Mountains,2019-04,33.4
Males,Nepean Blue Mountains,2019-05,34.9
Males,Nepean Blue Mountains,2019-06,32.9
Males,Nepean Blue Mountains,2019-07,29.9
Males,Nepean Blue Mountains,2019-08,25.1
Males,Nepean Blue Mountains,2019-09,23.2
Males,Nepean Blue Mountains,2019-10,19.1
Males,Nepean Blue Mountains,2019-11,16.9
Males,Nepean Blue Mountains,2019-12,26.8
Males,Nepean Blue Mountains,2020-01,20.6
Males,Nepean Blue Mountains,2020-02,24.2
Males,Nepean Blue Mountains,2020-03,37.8
Males,Nepean Blue Mountains,2020-04,11.5
Males,Nepean Blue Mountains,2020-05,15.4
Males,Nepean Blue Mountains,2020-06,24.7
Males,Nepean Blue Mountains,2020-07,21.6
Males,Nepean Blue Mountains,2020-08,18.6
Males,Nepean Blue Mountains,2020-09,14.7
Males,Nepean Blue Mountains,2020-10,16.1
Males,Nepean Blue Mountains,2020-11,22.2
Males,Nepean Blue Mountains,2020-12,17.8
Males,Nepean Blue Mountains,2021-01,11.8
Males,Nepean Blue Mountains,2021-02,19.0
Males,Nepean Blue Mountains,2021-03,16.6
Males,Nepean Blue Mountains,2021-04,25.0
Males,Nepean Blue Mountains,2021-05,31.6
Males,Nepean Blue Mountains,2021-06,19.8
Males,Nepean Blue Mountains,2021-07,13.0
Males,Nepean Blue Mountains,2021-08,7.6
Males,Nepean Blue Mountains,2021-09,7.4
Males,Nepean Blue Mountains,2021-10,10.8
Males,Nepean Blue Mountains,2021-11,19.4
Males,Nepean Blue Mountains,2021-12,15.1
Males,Nepean Blue Mountains,2022-01,7.1
Males,Nepean Blue Mountains,2022-02,16.9
Males,Nepean Blue Mountains,2022-03,32.1
Males,Nepean Blue Mountains,2022-04,27.6
Males,Nepean Blue Mountains,2022-05,52.3
Males,Nepean Blue Mountains,2022-06,28.7
Males,Nepean Blue Mountains,2022-07,18.7
Males,Nepean Blue Mountains,2022-08,27.4
Males,Nepean Blue Mountains,2022-09,23.3
Males,Nepean Blue Mountains,2022-10,18.5
Males,Nepean Blue Mountains,2022-11,20.8
Males,Nepean Blue Mountains,2022-12,14.1
Males,Nepean Blue Mountains,2023-01,10.9
Males,Nepean Blue Mountains,2023-02,21.7
Males,Nepean Blue Mountains,2023-03,23.6
Males,Nepean Blue Mountains,2023-04,30.3
Males,Nepean Blue Mountains,2023-05,25.0
Males,Nepean Blue Mountains,2023-06,27.0
Males,Northern Sydney,2014-07,24.6
Males,Northern Sydney,2014-08,24.0
Males,Northern Sydney,2014-09,18.3
Males,Northern Sydney,2014-10,17.8
Males,Northern Sydney,2014-11,17.6
Males,Northern Sydney,2014-12,22.3
Males,Northern Sydney,2015-01,13.5
Males,Northern Sydney,2015-02,29.5
Males,Northern Sydney,2015-03,33.5
