"Influenza and pneumonia hospitalisations by Age (years), Sex and LHD",,,,,,
Age (years),Sex,LHD,Period,"Rate per 100,000 population",LL 95% CI,UL 95% CI
0-4 years,Males,All LHDs,15/16,597.8,568.2,628.5
0-4 years,Males,All LHDs,16/17,537,509.1,566
0-4 years,Males,All LHDs,17/18,701.2,669.2,734.4
0-4 years,Males,All LHDs,18/19,707.5,675.3,740.8
0-4 years,Males,All LHDs,19/20,609.3,579.4,640.3
0-4 years,Males,All LHDs,20/21,412.7,388,438.6
0-4 years,Females,Sydney LHD,1-Feb,693.8,562,847.3
0-4 years,Females,Sydney LHD,2-Mar,560.2,442.8,699.2
0-4 years,Females,Sydney LHD,3-Apr,558.6,442.2,696.2
0-4 years,Females,Sydney LHD,4-May,500.4,391.6,630.2
0-4 years,Females,Sydney LHD,5-Jun,447.8,346.4,569.8
0-4 years,Females,Sydney LHD,6-Jul,364.2,275.1,472.9
0-4 years,Females,Sydney LHD,7-Aug,469.7,370.1,588
0-4 years,Females,Sydney LHD,8-Sep,444.2,349.4,556.8
0-4 years,Females,Sydney LHD,9-Oct,620.8,509.3,749.6
0-4 years,Females,Sydney LHD,10-Nov,470.9,375,583.7
0-4 years,Females,Sydney LHD,11-Dec,373.9,289.8,474.9
0-4 years,Females,Sydney LHD,Dec-13,391.4,306.2,492.9
0-4 years,Females,Sydney LHD,13/14,450,359,557.2
0-4 years,Females,Sydney LHD,14/15,492.4,397,603.9
0-4 years,Females,Sydney LHD,15/16,454.4,362.9,561.9
0-4 years,Females,Sydney LHD,16/17,487.6,393.1,598
0-4 years,Females,Sydney LHD,17/18,512.5,415.6,625.2
0-4 years,Females,Sydney LHD,18/19,610.5,504,732.8
0-4 years,Females,Sydney LHD,19/20,552.4,450.9,669.9
0-4 years,Females,Sydney LHD,20/21,515.2,416.3,630.5
0-4 years,Females,South Western Sydney LHD,1-Feb,718,624.6,821.4
0-4 years,Females,South Western Sydney LHD,2-Mar,659.1,569.2,759.2
0-4 years,Females,South Western Sydney LHD,3-Apr,618,530.5,715.7
0-4 years,Females,South Western Sydney LHD,4-May,589,503.5,684.7
0-4 years,Females,South Western Sydney LHD,5-Jun,423.9,352.3,505.8
0-4 years,Females,South Western Sydney LHD,6-Jul,484.7,408.5,570.9
0-4 years,Females,South Western Sydney LHD,7-Aug,634.8,547.7,731.8
0-4 years,Females,South Western Sydney LHD,8-Sep,465.7,392.3,549
0-4 years,Females,South Western Sydney LHD,9-Oct,733.1,640.8,834.9
0-4 years,Females,South Western Sydney LHD,10-Nov,662.7,575.1,759.9
0-4 years,Females,South Western Sydney LHD,11-Dec,698,608.1,797.6
0-4 years,Females,South Western Sydney LHD,Dec-13,610.8,527.5,703.6
0-4 years,Females,South Western Sydney LHD,13/14,495.8,421.7,579.1
0-4 years,Females,South Western Sydney LHD,14/15,661.7,576.6,755.9
0-4 years,Females,South Western Sydney LHD,15/16,661.8,577.8,754.6
0-4 years,Females,South Western Sydney LHD,16/17,740.9,652.9,837.4
0-4 years,Females,South Western Sydney LHD,17/18,890.5,794.5,994.8
0-4 years,Females,South Western Sydney LHD,18/19,820.9,729.6,920.5
0-4 years,Females,South Western Sydney LHD,19/20,706.2,622.2,798.4
0-4 years,Females,South Western Sydney LHD,20/21,343.3,285.3,409.6
0-4 years,Females,South Eastern Sydney LHD,1-Feb,504.1,413.1,609.1
0-4 years,Females,South Eastern Sydney LHD,2-Mar,629.2,527.2,745.2
0-4 years,Females,South Eastern Sydney LHD,3-Apr,557.1,461.5,666.7
0-4 years,Females,South Eastern Sydney LHD,4-May,411.2,329.8,506.7
0-4 years,Females,South Eastern Sydney LHD,5-Jun,320.3,249.2,405.4
0-4 years,Females,South Eastern Sydney LHD,6-Jul,352.9,279,440.5
0-4 years,Females,South Eastern Sydney LHD,7-Aug,383.8,307.8,472.9
0-4 years,Females,South Eastern Sydney LHD,8-Sep,350.9,279.5,434.9
0-4 years,Females,South Eastern Sydney LHD,9-Oct,363.3,291.4,447.6
0-4 years,Females,South Eastern Sydney LHD,10-Nov,380.8,307.3,466.5
0-4 years,Females,South Eastern Sydney LHD,11-Dec,383.7,310.5,469.1
0-4 years,Females,South Eastern Sydney LHD,Dec-13,300.6,236.8,376.2
0-4 years,Females,South Eastern Sydney LHD,13/14,313.5,248.6,390.1
0-4 years,Females,South Eastern Sydney LHD,14/15,416.1,340.6,503.2
0-4 years,Females,South Eastern Sydney LHD,15/16,341.9,273.9,421.8
0-4 years,Females,South Eastern Sydney LHD,16/17,309.3,244.9,385.5
0-4 years,Females,South Eastern Sydney LHD,17/18,413.1,337.9,500.1
0-4 years,Females,South Eastern Sydney LHD,18/19,462.6,382.2,554.8
0-4 years,Females,South Eastern Sydney LHD,19/20,470.2,388.6,564
0-4 years,Females,South Eastern Sydney LHD,20/21,359.3,287.8,443.2
0-4 years,Females,Illawarra Shoalhaven LHD,1-Feb,454.9,338.7,598.1
0-4 years,Females,Illawarra Shoalhaven LHD,2-Mar,451.6,335.2,595.4
0-4 years,Females,Illawarra Shoalhaven LHD,3-Apr,567.7,435.2,727.7
0-4 years,Females,Illawarra Shoalhaven LHD,4-May,558.5,426.2,718.8
0-4 years,Females,Illawarra Shoalhaven LHD,5-Jun,401.6,290.7,541
0-4 years,Females,Illawarra Shoalhaven LHD,6-Jul,378.2,271.4,513
0-4 years,Females,Illawarra Shoalhaven LHD,7-Aug,469.8,350.9,616.1
0-4 years,Females,Illawarra Shoalhaven LHD,8-Sep,416.7,306.2,554.2
0-4 years,Females,Illawarra Shoalhaven LHD,9-Oct,489.1,369.5,635.2
0-4 years,Females,Illawarra Shoalhaven LHD,10-Nov,331.6,234.7,455.2
0-4 years,Females,Illawarra Shoalhaven LHD,11-Dec,350.4,250.3,477.1
