financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm,asthma edp [f],asthma edp [m],asthma hospitalisations [f],asthma hospitalisations [m],copd deaths [f],copd deaths [m],copd hospitalisations [f],copd hospitalisations [m],iap deaths [f],iap deaths [m],iap hospitalisations [f],iap hospitalisations [m]
2018/2019,South Eastern Sydney,0.326036216,2.947545236,1.569616595,1.364107579,21.125,0.119253921,240.7,237.8,122.925,98.275,13.9,14.6,117.9,140.7,6.6,8.4,316.5,368.3
2018/2019,South Western Sydney,0.201065123,0.697345454,0.799466175,1.907374744,20.08541667,0.058073856,306.8,311.3,167.775,131,19.1,23.4,215.7,257.5,7.7,9.9,358.4,413.1
2018/2019,Southern NSW,0.133039168,0.198944597,0.366698085,2.154204503,18.51193545,0.06881431,560.6,427.8,119.425,124.175,29.4,38.6,304,315.8,9.5,9.4,383.7,457.8
2018/2019,Sydney,0.124103498,0.897503367,1.009526909,1.53298632,19.42916667,0.045833333,233.1,244.4,127.875,99.65,11.3,23.4,162.2,240.1,8.2,12.1,281.5,384
2018/2019,Western NSW,0,0.152226737,0.27436504,2.263526654,18.51193545,0.06881431,609,493.8,114.925,75.3,32,44.4,347.4,320.3,11.9,12.9,463.4,487.4
2018/2019,Western Sydney,0.160695855,0.801943833,0.900827465,1.814704102,18.51193545,0.078481097,279.2,257.9,196.775,129.5,16,23.2,208.9,249.2,8.3,9.5,362.4,397.2
2019/2020,Central Coast,0.143129378,0.208333333,0.358333333,1.916666667,18.57275166,0.066666667,393.8,319.8,124.45,72.675,29.6,34.8,273.4,249.5,7.2,11.2,336.9,409.5
2019/2020,Hunter New England,0.119742477,0.520115806,0.628147132,2.363537644,26.13616767,0.176950812,470.1,407.8,125.025,92.475,24.1,30.4,217,244.2,7.6,7.3,325.8,381.6
2019/2020,Illawarra Shoalhaven,0.208333333,0.304166667,0.533333333,2.0125,22.03333333,0.1,339.5,280.4,95.525,43.125,24.5,30.5,240.3,225.6,9.1,7.7,340,395.7
2019/2020,Mid North Coast,0.175655189,0.133531907,0.327615387,2.081921468,18.51193545,0.037168988,493.9,409.8,105.95,101.4,25.9,32.4,272.8,242.3,8.7,6.4,341.3,392.9
2019/2020,Murrumbidgee,0.133039168,0.234756244,0.365028189,2.093052094,27.416068,0.041666667,640.3,478,185.525,96.55,29,34.7,351.7,395.6,8,6.3,479.1,509.6
2019/2020,Nepean Blue Mountains,0.185243718,0.202956796,0.383082049,2.289536208,19.24612815,0.027525184,366.3,275.4,133.575,81.25,21.9,25,209.6,207.6,8,12,354.3,376.5
2019/2020,Northern Sydney,0.151504642,0.361725946,0.790532653,1.903985446,18.07867788,0.051149054,169.1,183.5,101.3,73.15,8.8,11,78.9,95.9,8.2,7.8,288.3,338.1
2019/2020,South Eastern Sydney,0.296139127,2.541666667,1.483333333,1.495134696,21.39583333,0.107856632,230.7,205.6,109.65,84.875,14.1,16.1,105.7,136.5,5.8,6.4,296.7,337.9
2019/2020,South Western Sydney,0.198667389,0.63494729,0.771437678,1.959785721,20.50016934,0.048484401,268.3,240.6,149.65,99.05,17.1,24.2,189.2,212.6,5.9,8.7,326.3,384.7
2019/2020,Southern NSW,0.133039168,0.180430493,0.39254353,2.302080264,18.51193545,0.06881431,492.2,370.3,114.8,80.225,24,35.4,251,272.4,8,7.4,344,425.4
2019/2020,Sydney,0.143766213,0.751834396,0.907348681,1.523932512,20.30332086,0.0375,199.2,202.8,121.025,85.95,10,20.2,146.6,204,6.9,9.8,297.2,382
2019/2020,Western NSW,0.005857993,0.18992621,0.301065971,2.411665509,18.51193545,0.06881431,586.8,443,153.95,82.9,32,39.5,333,346.5,9.8,11.4,435.9,458.9
2019/2020,Western Sydney,0.21386108,0.810472659,0.773434486,1.98350445,18.51193545,0.095470859,244.8,203.2,173.45,99.85,13.5,24.5,193.5,204.9,7.2,9.2,311.1,365.6
