financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm,"asthma deaths [rate per 100,000]","asthma edp [f] [rate per 100,000]","asthma edp [m] [rate per 100,000]","asthma hospitalisations [f] [rate per 100,000]","asthma hospitalisations [m] [rate per 100,000]",asthma prevelance in children [% of children],"copd deaths [f] [rate per 100,000]","copd deaths [m] [rate per 100,000]","copd hospitalisations [f] [rate per 100,000]","copd hospitalisations [m] [rate per 100,000]","iap deaths [f] [rate per 100,000]","iap deaths [m] [rate per 100,000]","iap hospitalisations [f] [rate per 100,000]","iap hospitalisations [m] [rate per 100,000]"
2017/2018,Illawarra Shoalhaven,0.1571428571428571,0.25,0.4714285714285714,2.130608738340697,21.107142857142858,0.0857142857142857,0.725,389.9,397.7,109.5,105.0,11.1,25.0,30.4,254.9,262.4,9.1,12.9,371.2,416.8
2018/2019,Illawarra Shoalhaven,0.2,0.2737190812720848,0.5234982332155477,2.025,22.7,0.1,0.625,392.5,338.5,115.7,89.1,,24.2,28.4,251.7,239.0,10.1,10.4,339.7,401.5
2019/2020,Illawarra Shoalhaven,0.1,0.3,0.6000000000000001,1.725,15.1,0.0,0.55,339.5,280.4,99.1,58.7,,24.5,30.5,240.3,225.6,9.1,7.7,340.0,395.7
2020/2021,Illawarra Shoalhaven,0.2,0.2625,0.4625,1.8875,22.125,0.075,0.55,294.3,247.6,72.9,47.4,,23.2,31.2,168.2,155.4,4.8,6.5,192.9,258.3
2021/2022,Illawarra Shoalhaven,,,,,,,,264.7,246.5,69.7,52.7,,,,158.6,146.3,,,,
2022/2023,Illawarra Shoalhaven,,,,,,,,268.9,269.5,,,,,,,,,,,
2023/2024,Illawarra Shoalhaven,0.15,0.3,0.6,1.625,21.3,0.1,,,,,,,,,,,,,,
2000/2001,Mid North Coast,,0.1266666666666666,0.2883333333333333,1.569491525423729,,0.045,,,,,,,,,,,,,,
2001/2002,Mid North Coast,,0.1266666666666666,0.2883333333333333,1.569491525423729,,0.045,,,,179.7,199.1,,,,268.1,351.3,,,301.8,381.6
2002/2003,Mid North Coast,,0.1266666666666666,0.2883333333333333,1.569491525423729,,0.045,,,,175.8,179.0,,,,230.2,351.9,,,332.7,427.1
2003/2004,Mid North Coast,,0.1266666666666666,0.2883333333333334,1.569491525423729,,0.045,,,,183.1,144.1,14.65,,,244.9,394.6,,,365.0,504.8
2004/2005,Mid North Coast,,0.1266666666666666,0.2883333333333334,1.569491525423729,,0.045,,,,201.6,163.4,13.8,,,206.8,366.0,,,337.4,421.5
2005/2006,Mid North Coast,,0.1266666666666666,0.2883333333333333,1.569491525423729,,0.045,,,,178.6,123.2,12.35,,,202.0,340.3,,,280.8,403.7
