Sex,LHD,Period,"Rate per 100,000 population",LL 95% CI,UL 95% CI
Persons,Southern NSW LHD,18/19,494,462.5,527.1
Persons,Southern NSW LHD,19/20,431,401.8,461.7
Persons,Southern NSW LHD,20/21,354.1,327.6,382.1
Persons,Southern NSW LHD,21/22,350.6,324,378.7
Persons,Southern NSW LHD,22/23,431.2,401.7,462.3
Persons,Murrumbidgee LHD,14/15,637.3,605,670.7
Persons,Murrumbidgee LHD,15/16,660.2,627.2,694.4
Persons,Murrumbidgee LHD,16/17,740.7,705.6,777.1
Persons,Murrumbidgee LHD,17/18,606.9,575.4,639.7
Persons,Murrumbidgee LHD,18/19,586,555,618.2
Persons,Murrumbidgee LHD,19/20,559.5,529.1,591
Persons,Murrumbidgee LHD,20/21,533.3,503.4,564.5
Persons,Murrumbidgee LHD,21/22,523.5,494,554.4
Persons,Murrumbidgee LHD,22/23,707.9,673.1,743.9
Persons,Western NSW LHD,14/15,419.2,395,444.4
Persons,Western NSW LHD,15/16,565.8,537.6,595
Persons,Western NSW LHD,16/17,690.1,658.9,722.3
Persons,Western NSW LHD,17/18,539.9,512.4,568.5
Persons,Western NSW LHD,18/19,553.1,525.3,581.9
Persons,Western NSW LHD,19/20,516.3,489.3,544.5
Persons,Western NSW LHD,20/21,551.8,523.8,580.9
Persons,Western NSW LHD,21/22,561.8,533.3,591.3
Persons,Western NSW LHD,22/23,600.8,571.6,631.1
Persons,Far West LHD,14/15,690.5,594.8,796.7
Persons,Far West LHD,15/16,824.8,719.7,940.5
Persons,Far West LHD,16/17,881,772.3,"1,000.30"
Persons,Far West LHD,17/18,684.1,589.2,789.4
Persons,Far West LHD,18/19,840.8,734.7,957.5
Persons,Far West LHD,19/20,582.6,494.8,681
Persons,Far West LHD,20/21,473.6,393.6,564.4
Persons,Far West LHD,21/22,522.7,437.6,619
Persons,Far West LHD,22/23,800,690,921.8
Persons,All LHDs,14/15,378.6,374.1,383.1
Persons,All LHDs,15/16,382.8,378.4,387.4
Persons,All LHDs,16/17,387,382.5,391.5
Persons,All LHDs,17/18,343.6,339.4,347.8
Persons,All LHDs,18/19,349.5,345.3,353.7
Persons,All LHDs,19/20,311.8,307.9,315.8
Persons,All LHDs,20/21,266.5,262.8,270.2
Persons,All LHDs,21/22,260.2,256.6,263.8
Persons,All LHDs,22/23,305.1,301.2,309.1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
