year-month,lhd,NO pphm,NO2 pphm,OZONE pphm,asthma edp
2016-04,Nepean Blue Mountains,0.2965984925573698,0.4947284852035212,1.771685982010565,27.2
2016-05,Nepean Blue Mountains,0.4089815671250427,0.4932723891578164,1.8503196957449743,37.7
2016-06,Nepean Blue Mountains,0.3900886354890798,0.5318168497068743,1.6079310728651912,27.1
2016-07,Nepean Blue Mountains,0.3330010968062289,0.4963969543791764,1.707300638456338,34.4
2016-08,Nepean Blue Mountains,0.3917394209206513,0.5466322304173785,1.7620782507810722,36.8
2016-09,Nepean Blue Mountains,0.1647573539585681,0.4619855626484397,1.9340374277144128,33.4
2016-10,Nepean Blue Mountains,0.1126133905606149,0.3428395813482522,2.3021636700239707,26.4
2016-11,Nepean Blue Mountains,0.1115383842428099,0.3843743121865048,2.411193097980309,27.8
2016-12,Nepean Blue Mountains,0.0463597526620045,0.3027586982045844,2.527018896248194,24.3
2017-01,Nepean Blue Mountains,0.0982987049736414,0.2871567611160684,2.241806932391881,19.3
2017-02,Nepean Blue Mountains,0.1332890409962875,0.4028273835305586,2.4117906442876498,26.3
2017-03,Nepean Blue Mountains,0.1373576071265055,0.2370950549055968,1.6971626977868288,36.3
2017-04,Nepean Blue Mountains,0.2253678262558742,0.463597755256572,1.7310454656489898,42.9
2017-05,Nepean Blue Mountains,0.4537830805718696,0.5979341318632718,1.4384745038518822,53.2
2017-06,Nepean Blue Mountains,0.5718323631941347,0.5829586064619579,1.252944672506959,42.4
2017-07,Nepean Blue Mountains,0.462907998897488,0.550369767292268,1.833220322624592,38.9
2017-08,Nepean Blue Mountains,0.2752815468763723,0.4919191025614399,2.1662085695850566,30.3
2017-09,Nepean Blue Mountains,0.1518932861811298,0.4395412534057694,2.663657708621742,27.6
2017-10,Nepean Blue Mountains,0.0850718786156169,0.3436933774612564,2.574930308833782,32.0
2017-11,Nepean Blue Mountains,0.1391393580750308,0.4033256912178074,2.191263483365586,29.6
2017-12,Nepean Blue Mountains,0.0966246999880369,0.3363924008134166,2.40923971891893,24.7
2018-01,Nepean Blue Mountains,0.1515062509606947,0.4157413884576521,2.2530472036148037,16.0
2018-02,Nepean Blue Mountains,0.1833378399941734,0.3688342113822934,2.029037337429611,23.7
2018-03,Nepean Blue Mountains,0.1509087583771361,0.3854252091182779,2.016069529257056,37.3
2018-04,Nepean Blue Mountains,0.1311236604535987,0.4618113198669858,1.994091131126641,27.7
2018-05,Nepean Blue Mountains,0.4628605711618735,0.5956294768137892,1.968739648157432,38.5
2018-06,Nepean Blue Mountains,0.5026937593844899,0.5717804334592904,1.5707544502000377,34.3
2018-07,Nepean Blue Mountains,0.5385499269403647,0.5844140557634262,1.859885636304615,28.5
2018-08,Nepean Blue Mountains,0.3032265036911972,0.5549256167825484,2.100354469902996,30.3
2018-09,Nepean Blue Mountains,0.1879433145427697,0.4780562590008779,2.116573023712667,29.1
2018-10,Nepean Blue Mountains,0.0809102708873287,0.3569323602354481,2.305500803029012,23.4
2018-11,Nepean Blue Mountains,0.1478823859743492,0.3674412360062881,2.3420104579760554,26.6
2018-12,Nepean Blue Mountains,0.0655668401458614,0.3027722823026982,2.441204609708217,21.5
2019-01,Nepean Blue Mountains,0.0737790039877138,0.3043442993601432,2.7622388585430637,23.4
2019-02,Nepean Blue Mountains,0.1484526611715635,0.3743616373221378,2.22809906688732,34.9
2019-03,Nepean Blue Mountains,0.2362714364311334,0.3573806863830446,1.9188081537885864,38.3
2019-04,Nepean Blue Mountains,0.2215864351364806,0.4565554459308771,1.7604040658821067,34.7
2019-05,Nepean Blue Mountains,0.4179604445116017,0.5221385273075432,1.6494507311551267,41.1
2019-06,Nepean Blue Mountains,0.4402248823683405,0.5477380302411811,1.4940569597863516,38.7
2019-07,Nepean Blue Mountains,0.4267856497720072,0.5631221062274382,1.7944572179975105,33.3
2019-08,Nepean Blue Mountains,0.2740536259250745,0.4790989047220396,2.336441182984532,28.0
2019-09,Nepean Blue Mountains,0.1426275545589491,0.3864105153267098,2.520642388513165,28.8
2019-10,Nepean Blue Mountains,0.1170915973523466,0.4528551270355424,2.5550942289426573,20.3
2019-11,Nepean Blue Mountains,0.071616911743065,0.2650538515668422,3.109457203397359,27.1
2019-12,Nepean Blue Mountains,0.0967035164594768,0.3573509924584662,3.103791205445165,37.2
2020-01,Nepean Blue Mountains,0.1493054912110994,0.3551508734509496,2.9602717936859944,22.6
2020-02,Nepean Blue Mountains,0.0780541428245779,0.3231650276218616,2.3547625736796185,24.8
2020-03,Nepean Blue Mountains,0.157030792209422,0.2786286796540538,1.821137414824044,39.3
2020-04,Nepean Blue Mountains,0.1662306778349701,0.2641303122894435,1.98013763520718,14.1
2020-05,Nepean Blue Mountains,0.3240812094387537,0.4058954570910081,1.5222441554874977,14.0
2020-06,Nepean Blue Mountains,0.4319003864193734,0.4661227460471944,1.4159974957907735,31.9
2020-07,Nepean Blue Mountains,0.3839483436315822,0.4439309639209918,1.7875168150306782,19.1
2020-08,Nepean Blue Mountains,0.2016130053829536,0.3502696246512021,2.234725757125481,18.9
2020-09,Nepean Blue Mountains,0.1566625043589353,0.3591351560686573,2.1329679353767776,16.7
2020-10,Nepean Blue Mountains,0.071385182574177,0.2812118450044609,2.4284870000553243,19.7
2020-11,Nepean Blue Mountains,0.0655231669712574,0.2438821953859475,2.426377942985509,21.3
2020-12,Nepean Blue Mountains,0.0515795359063559,0.1820696283142993,2.0318032060030804,18.3
2021-01,Nepean Blue Mountains,0.089962267696902,0.1926157962266807,1.8532152059593456,10.8
2021-02,Nepean Blue Mountains,0.1038303596248679,0.2119177930798395,1.7617075790516918,20.8
2021-03,Nepean Blue Mountains,0.157654745218052,0.2895137405688285,1.483053161567668,24.6
2021-04,Nepean Blue Mountains,0.2183352495022298,0.4158103697346989,1.6884124617865073,25.0
2021-05,Nepean Blue Mountains,0.3741247780151986,0.435312560615107,1.222907581180312,31.9
2021-06,Nepean Blue Mountains,0.5030312478852809,0.4182695550555408,1.3110950429933836,25.2
2021-07,Nepean Blue Mountains,0.3243116439261015,0.3321261779460813,1.5975807006150151,18.9
2021-08,Nepean Blue Mountains,0.1622768544772132,0.3323428695516694,1.8724636526525436,11.0
2021-09,Nepean Blue Mountains,0.1512532142092978,0.3267641714412537,2.117780307506673,8.8
2021-10,Nepean Blue Mountains,0.0556722168532372,0.2707619284879837,2.4444919329497137,11.6
2021-11,Nepean Blue Mountains,0.055305083861352,0.2896299949418418,2.12885368489838,15.0
2021-12,Nepean Blue Mountains,0.0634947676242669,0.2321599578664231,2.120047374030347,14.1
2022-01,Nepean Blue Mountains,0.0878042717964812,0.1501361811467445,1.7237519560379029,13.8
2022-02,Nepean Blue Mountains,0.1313249410640529,0.2116924397986153,1.509814983809698,16.1
2022-03,Nepean Blue Mountains,0.1268399813082967,0.23528799660962,1.6370451729865585,34.3
2022-04,Nepean Blue Mountains,0.1428710164312863,0.2515134691292492,1.6013436481681325,32.0
2022-05,Nepean Blue Mountains,0.3241612991326729,0.3396230917663087,1.5254918150251,50.3
2022-06,Nepean Blue Mountains,0.4223661809630921,0.3863461517695474,1.5398065086020278,30.4
2022-07,Nepean Blue Mountains,0.2171201565363298,0.4115438609341905,1.7660602667172394,20.8
2022-08,Nepean Blue Mountains,0.1925985956352636,0.3391339664071306,1.9096911630582565,29.4
2022-09,Nepean Blue Mountains,0.0932623618543166,0.3705606939442715,1.89148722843108,27.7
2022-10,Nepean Blue Mountains,0.0684181086311694,0.2617500241168949,1.9577291476233287,22.1
2022-11,Nepean Blue Mountains,0.0764200797647111,0.2289889166948941,1.9937430248528103,20.3
2022-12,Nepean Blue Mountains,0.0728574962919601,0.2688390022455765,2.0572803626988305,16.4
2023-01,Nepean Blue Mountains,0.0466668814875425,0.2109411546658778,2.136316530707824,13.1
2023-02,Nepean Blue Mountains,0.1167525155123052,0.2832001385417168,2.083787300611501,21.0
2023-03,Nepean Blue Mountains,0.1431344464898009,0.3312406380630269,1.948636277935928,20.1
2023-04,Nepean Blue Mountains,0.2143860887058364,0.3317225506944807,1.6171620343297506,29.7
2023-05,Nepean Blue Mountains,0.4322606156489054,0.4928432957051447,1.538186414861742,29.0
2023-06,Nepean Blue Mountains,0.4358726146962356,0.4794921554463,1.5688733913075128,28.5
2023-07,Nepean Blue Mountains,0.4197453457638752,0.4763635372852674,1.7288552933936718,30.446153846153845
2023-08,Nepean Blue Mountains,0.2528330173002088,0.4757294558922956,2.073688428410221,32.39230769230769
2023-09,Nepean Blue Mountains,0.1,0.5480980698679119,2.575795537860777,34.33846153846154
2023-10,Nepean Blue Mountains,0.075,0.3329913626740641,2.692336970509035,36.284615384615385
2023-11,Nepean Blue Mountains,0.0632386800202232,0.3377051268861741,2.64481961373278,38.230769230769226
2023-12,Nepean Blue Mountains,0.0593082177085818,0.3238812267065746,2.780250369284981,40.17692307692308
2024-01,Nepean Blue Mountains,0.1055351846032911,0.3313272262116391,1.905709951834108,42.12307692307692
2024-02,Nepean Blue Mountains,0.1081502876427272,0.3701254904901552,1.8483004813044623,44.06923076923077
2024-03,Nepean Blue Mountains,0.0899983550446641,0.4148236298843455,2.144218100266366,46.01538461538461
2024-04,Nepean Blue Mountains,0.1492135617114672,0.4341234340366739,1.9133735580861304,47.96153846153846
2024-05,Nepean Blue Mountains,0.3584280911698259,0.5645041934311295,1.570024552334759,49.9076923076923
2024-06,Nepean Blue Mountains,0.5020206868337443,0.5540909369104422,1.3263936916514247,51.85384615384615
2014-07,Northern Sydney,0.5618076894518267,1.0389239208796142,1.4431261075812312,21.6
2014-08,Northern Sydney,0.5632187172708443,1.0442857739485143,1.5835960717631454,22.9
2014-09,Northern Sydney,0.2402711412026391,0.7918653928121567,1.9958453884415608,18.4
2014-10,Northern Sydney,0.1276082964537027,0.5968979409347547,2.382049350094245,16.5
2014-11,Northern Sydney,0.1256955495762729,0.5197316030624712,2.463927728146649,14.7
2014-12,Northern Sydney,0.1261377132376303,0.4490424925713105,2.183294188011659,18.6
2015-01,Northern Sydney,0.0903904302404696,0.4204624156427929,1.8924783994664296,12.2
2015-02,Northern Sydney,0.2468325355990057,0.5474595863863133,1.3730426025413325,24.7
2015-03,Northern Sydney,0.3173528548342298,0.7661601510279831,1.819304986276072,31.7
2015-04,Northern Sydney,0.3224159147871727,0.8038515005087262,1.551305089337203,26.8
2015-05,Northern Sydney,0.5781484771873934,1.048398094801536,1.0876309858121804,26.5
2015-06,Northern Sydney,0.8750408704196446,1.3019984487205394,0.743372944207457,18.6
2015-07,Northern Sydney,0.7856269719932505,1.1675153945472407,1.0856891279490697,16.9
2015-08,Northern Sydney,0.3359297774706728,0.9632343076717268,1.548095402383569,20.4
2015-09,Northern Sydney,0.280218170347437,0.8154479809139473,1.9221738201367071,15.7
2015-10,Northern Sydney,0.0790753281125176,0.454281417679206,2.451313383243974,17.5
2015-11,Northern Sydney,0.1245856493290184,0.4836316008250103,2.317209101984426,19.3
2015-12,Northern Sydney,0.2411374528415237,0.5437716243319829,1.8623453629425637,17.9
2016-01,Northern Sydney,0.1701062852916672,0.4863291359507637,1.9231407371248503,14.6
2016-02,Northern Sydney,0.2464415478794237,0.5290930648784861,1.7498902504482745,25.0
2016-03,Northern Sydney,0.257149484194914,0.5523233770352677,1.5594179228688043,24.5
2016-04,Northern Sydney,0.4574822596541688,0.831962450888093,1.5059972490351032,17.5
2016-05,Northern Sydney,0.5764749105441503,1.0371860653616447,1.212498356982419,26.8
2016-06,Northern Sydney,0.572738685112358,0.9713081172959098,1.2879614110694446,22.6
2016-07,Northern Sydney,0.5203230934915551,0.9839299529085102,1.2938858395746475,16.9
2016-08,Northern Sydney,0.5327145684406466,0.979150841011211,1.5415557480544797,19.0
2016-09,Northern Sydney,0.3142966660296096,0.7614286238033668,1.7819697074109326,20.8
2016-10,Northern Sydney,0.1610932686370525,0.5852460161125695,2.1733637442850653,14.3
2016-11,Northern Sydney,0.1731610040345065,0.543437828015375,2.2997112287178925,16.2
2016-12,Northern Sydney,0.2061215364431445,0.5241747033588795,2.334593802237903,17.9
2017-01,Northern Sydney,0.1804620818142723,0.3906678930553589,2.199601811418234,11.7
2017-02,Northern Sydney,0.1245855272308539,0.3944697564973163,2.494528669601363,19.4
2017-03,Northern Sydney,0.317028245679598,0.5950803214505042,1.4770772382246884,21.3
2017-04,Northern Sydney,0.4548438860287103,0.8570238326856914,1.3808127563185904,22.0
2017-05,Northern Sydney,0.7630682505376726,1.1644915918971224,1.0499090958938433,30.4
2017-06,Northern Sydney,1.002891236614997,1.2730931430244077,0.8657696745711888,20.7
2017-07,Northern Sydney,0.4143853527269468,0.957151950057685,1.5038855141416931,20.3
2017-08,Northern Sydney,0.3092466786920864,0.8653920731819803,2.0212076583580383,18.1
2017-09,Northern Sydney,0.1713618647859805,0.7183600105853994,2.270490657478312,14.4
2017-10,Northern Sydney,0.2687320171174041,0.5962508557030602,2.2770808544287737,16.5
2017-11,Northern Sydney,0.2233108813229264,0.4207456497784418,1.998174442660838,20.2
2017-12,Northern Sydney,0.1919090648875552,0.3700989980844614,2.386436242593236,14.8
2018-01,Northern Sydney,0.2605830756946707,0.4311444155144859,2.108848986406206,13.1
2018-02,Northern Sydney,0.2835469744692722,0.4840258701962391,1.7684488621307484,21.0
2018-03,Northern Sydney,0.2652199216087634,0.602316425009153,1.7860548272133574,20.4
2018-04,Northern Sydney,0.3709123976010304,0.7484464507905887,1.8536175837434747,12.6
2018-05,Northern Sydney,0.6400291123582456,1.1186290874431613,1.4809527938642593,21.3
2018-06,Northern Sydney,0.7595835820980211,1.1474850829055878,1.3560029385269778,15.1
2018-07,Northern Sydney,0.6086622154948491,1.124106568789604,1.485763628688174,12.9
2018-08,Northern Sydney,0.4080994988920585,0.986974059402034,1.983712224721162,11.9
2018-09,Northern Sydney,0.4746073267470281,0.9629127261026604,2.067526114205392,15.2
2018-10,Northern Sydney,0.1954900185849205,0.4934801460722651,2.322612728997624,15.7
2018-11,Northern Sydney,0.2272806469416008,0.5675445672863132,2.2048836933155536,14.0
2018-12,Northern Sydney,0.1870793198132065,0.4680191478288759,2.179165815287673,14.3
2019-01,Northern Sydney,0.185903659435545,0.4368347730002169,2.4883254512120883,12.1
2019-02,Northern Sydney,0.2261026540530641,0.5538591632226013,2.0114567031754524,23.3
2019-03,Northern Sydney,0.3382287609948255,0.7352991669404902,1.7002344470624629,21.0
2019-04,Northern Sydney,0.4964448889484145,0.9324577071058124,1.3347166354580535,22.7
2019-05,Northern Sydney,0.6281401716940133,1.046768716048686,1.3346389161186911,24.2
2019-06,Northern Sydney,0.7565208910426566,1.2508291356718984,0.9901848130955544,23.4
2019-07,Northern Sydney,0.6597200593515394,1.1695490831997064,1.3202446193431134,13.7
2019-08,Northern Sydney,0.5559177881420179,1.1659734094177858,1.874121416661523,18.1
2019-09,Northern Sydney,0.3833626055492486,0.9267628625124836,2.230010801676634,14.8
2019-10,Northern Sydney,0.3306563801086579,0.8506985855036066,2.3640433588256067,14.9
2019-11,Northern Sydney,0.2714925432015119,0.7801432025772189,2.5219741868207137,19.0
2019-12,Northern Sydney,0.0164667934470449,0.5966310898614865,2.6737363092547555,22.8
2020-01,Northern Sydney,0.1098644267332661,0.385811060036155,2.505191649721357,13.3
2020-02,Northern Sydney,0.0843589879400869,0.3558328846772172,1.9589346002797337,17.4
2020-03,Northern Sydney,0.3847671238629084,0.6193057627501934,1.4184143926430837,19.6
2020-04,Northern Sydney,0.3116399590166037,0.6825858269542264,1.6734521799371462,5.9
2020-05,Northern Sydney,0.6590967505856137,0.9336989619318694,1.2888800461790435,6.7
2020-06,Northern Sydney,0.573367936900823,1.019399109122747,1.0188217944567102,11.8
2020-07,Northern Sydney,0.6606363572550475,1.0399317876428211,1.2926896801620582,9.9
2020-08,Northern Sydney,0.2674636646719232,0.8177546190114148,1.7508849416339098,12.1
2020-09,Northern Sydney,0.2757470383336817,0.5639014570950116,2.207223222406524,7.3
2020-10,Northern Sydney,0.3728253894601055,0.5965110442842999,2.5191774646648013,9.6
2020-11,Northern Sydney,0.2006293461541851,0.4960842158606117,2.4600263661559416,12.5
2020-12,Northern Sydney,0.2485877199348403,0.4185380877146975,1.7694150210140869,10.4
2021-01,Northern Sydney,0.3655717278446238,0.3924618238581656,1.602727216896029,5.5
2021-02,Northern Sydney,0.3280582282194844,0.4466264476979824,1.3949948142633612,14.1
